"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2017-10-01,75.7,1.8092020594124e-05,3.73639103418211e-06,7.70600672866467e-06,7.99515007352726e-06,3.46531957048185e-05
"2",2017-10-02,75.4,1.79538075177772e-05,3.70884799841978e-06,7.64762245057947e-06,7.93365408415977e-06,3.43896033975658e-05
"3",2017-10-03,75,1.77951639304867e-05,3.6780659461243e-06,7.58101179828799e-06,7.86272049301523e-06,3.40879950648647e-05
"4",2017-10-04,75.1,1.77329193748663e-05,3.66315087782162e-06,7.55350038176283e-06,7.83607305765515e-06,3.39664275544227e-05
"5",2017-10-05,74.8,1.75918758085787e-05,3.63544851653551e-06,7.4941168708702e-06,7.77314878068322e-06,3.36978980606721e-05
"6",2017-10-06,75.9,1.77192494866122e-05,3.65153000749977e-06,7.5434152742423e-06,7.83369904293318e-06,3.39302412897072e-05
"7",2017-10-07,80.4,1.84879140369223e-05,3.77162973056037e-06,7.85217971691007e-06,8.18943609676567e-06,3.5358798713432e-05
"8",2017-10-08,80.1,1.83398348805083e-05,3.74275005732231e-06,7.78992615340931e-06,8.12329213600615e-06,3.50770904350636e-05
"9",2017-10-09,80.4,1.83034433132604e-05,3.73204605976614e-06,7.77289459637664e-06,8.10853043908795e-06,3.50037936139556e-05
"10",2017-10-10,83.8,1.88400005447592e-05,3.81379760986244e-06,7.98751376665282e-06,8.35765396138392e-06,3.59988469291153e-05
"11",2017-10-11,86.2,1.91816227480877e-05,3.86384684951121e-06,8.12324483661232e-06,8.51706877970682e-06,3.66302429853115e-05
"12",2017-10-12,83.8,1.86423175901581e-05,3.77220554170856e-06,7.90295111335317e-06,8.27060873440747e-06,3.56193566912381e-05
"13",2017-10-13,83.1,1.8414528586683e-05,3.73089080831064e-06,7.80866710783381e-06,8.16758056487476e-06,3.5189480118367e-05
"14",2017-10-14,85.4,1.87294271498504e-05,3.77655118429804e-06,7.93354857448911e-06,8.31472406773881e-06,3.57709404235473e-05
"15",2017-10-15,109,2.27572913638362e-05,4.41637661969291e-06,9.55886373024847e-06,1.01729752932987e-05,4.32740172669305e-05
"16",2017-10-16,108,2.24590945258112e-05,4.36241664572025e-06,9.43541739845407e-06,1.00381021363434e-05,4.27112211688653e-05
"17",2017-10-17,111,2.28389988796434e-05,4.41725287632195e-06,9.58627180974679e-06,1.02155202738412e-05,4.3413173296039e-05
"18",2017-10-18,94.4,1.98800065436122e-05,3.94017606804898e-06,8.3885869852438e-06,8.85350300774763e-06,3.78925463228007e-05
"19",2017-10-19,87.5,1.85689053978162e-05,3.72764857706393e-06,7.85769579935901e-06,8.25025656609313e-06,3.54459259199762e-05
"20",2017-10-20,87.7,1.84936775581333e-05,3.71123489546915e-06,7.82523978305761e-06,8.21737079252212e-06,3.53008644339447e-05
"21",2017-10-21,86.8,1.82277242341949e-05,3.66485275073904e-06,7.71602355217551e-06,8.09632987493497e-06,3.48009930936275e-05
"22",2017-10-22,86.2,1.80143102149836e-05,3.62694300984603e-06,7.6280584147301e-06,7.99948218119228e-06,3.43991100300144e-05
"23",2017-10-23,87.4,1.81086723817505e-05,3.63752242447369e-06,7.6640160320238e-06,8.04484344100411e-06,3.45699143402841e-05
"24",2017-10-24,87.6,1.80304961722091e-05,3.62105395358615e-06,7.63056693037936e-06,8.01042743509618e-06,3.44198220334429e-05
"25",2017-10-25,88,1.79850694201628e-05,3.60979578753214e-06,7.61032918645753e-06,7.991121907701e-06,3.43307265292413e-05
"26",2017-10-26,88.4,1.79383650291733e-05,3.59840820728873e-06,7.58961150302518e-06,7.9711962959012e-06,3.4239334615835e-05
"27",2017-10-27,88.8,1.78904298878925e-05,3.58689968175716e-06,7.56843319944213e-06,7.95067186773365e-06,3.41457345716885e-05
"28",2017-10-28,89.6,1.79070684244284e-05,3.58549606553964e-06,7.57322698100897e-06,7.96000899771883e-06,3.41722233276931e-05
"29",2017-10-29,89.9,1.78400220941692e-05,3.57114649836743e-06,7.54443396181013e-06,7.93058472346812e-06,3.40432507498115e-05
"30",2017-10-30,90.2,1.77721208831553e-05,3.5567472192344e-06,7.51533696816132e-06,7.90073062766036e-06,3.39127818743945e-05
"31",2017-10-31,202,3.419540284865e-05,6.15232792581145e-06,1.41462669440492e-05,1.54762389071715e-05,6.45151465525702e-05
"32",2017-11-01,621,8.47671232515297e-05,1.60190818406538e-05,3.54080255551068e-05,3.80647120942009e-05,0.000160726055655694
