"","Date","Flow","Flux","Std.Err","SEP","L90","U90"
"1",2017-10-01,75.7,2.28509501244948e-05,4.54601371944723e-06,8.29481425077718e-06,1.13524869655251e-05,4.06406552938786e-05
"2",2017-10-02,75.4,2.27032524411141e-05,4.52387691655056e-06,8.24517420415152e-06,1.12752154976661e-05,4.03873841287984e-05
"3",2017-10-03,75,2.25397591566372e-05,4.50187868702182e-06,8.19160760336558e-06,1.11883280557652e-05,4.01103009000021e-05
"4",2017-10-04,75.1,2.24461425561503e-05,4.47787629086064e-06,8.15467070199036e-06,1.11447125841738e-05,3.99368055545867e-05
"5",2017-10-05,74.8,2.22940025417009e-05,4.45507812704616e-06,8.1035482103109e-06,1.1065109171493e-05,3.9675942472825e-05
"6",2017-10-06,75.9,2.2337764465988e-05,4.42709611924344e-06,8.09932173466372e-06,1.11065628457358e-05,3.97061439248069e-05
"7",2017-10-07,80.4,2.28493170815245e-05,4.39221951937829e-06,8.2111153291537e-06,1.14334388650479e-05,4.0441021515232e-05
"8",2017-10-08,80.1,2.26898743798693e-05,4.36793960120687e-06,8.15722674391654e-06,1.13502908258501e-05,4.01668894056463e-05
"9",2017-10-09,80.4,2.26113099147708e-05,4.34256859897075e-06,8.1234998033272e-06,1.13164033159953e-05,4.00148380014283e-05
"10",2017-10-10,83.8,2.29497596638309e-05,4.31449615169559e-06,8.19571737171581e-06,1.15346621758881e-05,4.04969856711746e-05
"11",2017-10-11,86.2,2.31448825210316e-05,4.28943143679932e-06,8.23306034745555e-06,1.16648558242458e-05,4.07648337943454e-05
"12",2017-10-12,83.8,2.269818262932e-05,4.26358179731165e-06,8.1039709643639e-06,1.14101075002479e-05,4.00485510927898e-05
"13",2017-10-13,83.1,2.24776846007076e-05,4.23827586396263e-06,8.03373453820288e-06,1.12908473837838e-05,3.9679580270852e-05
"14",2017-10-14,85.4,2.26515957963469e-05,4.21193632924181e-06,8.06485315254485e-06,1.14090191966689e-05,3.99131865438494e-05
"15",2017-10-15,109,2.55150020949935e-05,4.2692310541704e-06,8.84547753129578e-06,1.30909550725163e-05,4.43945864958165e-05
"16",2017-10-16,108,2.52417442869866e-05,4.23536506485638e-06,8.75647367363326e-06,1.29449530492439e-05,4.39326454480283e-05
"17",2017-10-17,111,2.54585078527115e-05,4.22705274861937e-06,8.81014402381153e-06,1.30779333236205e-05,4.4259150118599e-05
"18",2017-10-18,94.4,2.32594303745003e-05,4.12008528694906e-06,8.1761355667728e-06,1.18201608081094e-05,4.07358030532076e-05
"19",2017-10-19,87.5,2.22510509823344e-05,4.08207631430938e-06,7.89346166843322e-06,1.12359254242557e-05,3.91393700424766e-05
"20",2017-10-20,87.7,2.21383962666213e-05,4.0558636500303e-06,7.85063148354977e-06,1.11818965375545e-05,3.89344368147303e-05
"21",2017-10-21,86.8,2.18870930273043e-05,4.02909732787853e-06,7.77149017091788e-06,1.10450253940075e-05,3.85160502616498e-05
"22",2017-10-22,86.2,2.16736434821663e-05,4.00265299331965e-06,7.70236941150443e-06,1.09306700805083e-05,3.8156194689319e-05
"23",2017-10-23,87.4,2.16831002941486e-05,3.97660950736297e-06,7.691325344888e-06,1.09497883589639e-05,3.81387946349432e-05
"24",2017-10-24,87.6,2.15671912412989e-05,3.95033654589052e-06,7.64761864376394e-06,1.08938392198057e-05,3.79287940201494e-05
"25",2017-10-25,88,2.14747772233752e-05,3.92417979613306e-06,7.61008558598455e-06,1.0851910244882e-05,3.77550136889245e-05
"26",2017-10-26,88.4,2.138122392251e-05,3.89807252222876e-06,7.57228972221803e-06,1.08092670665853e-05,3.75795640376724e-05
"27",2017-10-27,88.8,2.12865926669488e-05,3.87202467878484e-06,7.53425158498272e-06,1.07659417171975e-05,3.74025500057307e-05
"28",2017-10-28,89.6,2.12384921802708e-05,3.8463727229967e-06,7.50855415090825e-06,1.07502760995942e-05,3.72975403030697e-05
"29",2017-10-29,89.9,2.11297310384631e-05,3.82040930631534e-06,7.46689516343402e-06,1.0698430439131e-05,3.70989617244814e-05
"30",2017-10-30,90.2,2.10202546528673e-05,3.79452094916667e-06,7.4250917878929e-06,1.0646115285067e-05,3.68993836675972e-05
"31",2017-10-31,202,3.28547469655338e-05,4.83544001898665e-06,1.10857087347394e-05,1.71678941856226e-05,5.64485457349375e-05
"32",2017-11-01,621,7.30335648558657e-05,1.1947776752623e-05,2.51887644634614e-05,3.76035219669395e-05,0.000126766745252755
"33",2017-11-02,853,9.46378018265817e-05,1.60887845015997e-05,3.2932024878858e-05,4.8431044464792e-05,0.00016495483514852
"34",2017-11-03,850,9.36917457062142e-05,1.58790080215574e-05,3.25789335873872e-05,4.79710365112694e-05,0.000163249500748691
"35",2017-11-04,664,7.55351261543673e-05,1.23768686730871e-05,2.60609586713006e-05,3.88819465424256e-05,0.000131131001631369
"36",2017-11-05,271,3.83804292702438e-05,5.65881182328933e-06,1.29545793481616e-05,2.00507206063458e-05,6.59527497856548e-05
"37",2017-11-06,52.6,1.55664097608141e-05,3.83485918719718e-06,6.0864301416488e-06,7.3182086520259e-06,2.87202575343435e-05
"38",2017-11-07,41.7,1.40335375795427e-05,4.02298759140245e-06,5.86003859279258e-06,6.26167898134571e-06,2.67817739294638e-05
"39",2017-11-08,41.7,1.39314886272382e-05,3.99506915475111e-06,5.81834280149931e-06,6.21534204596813e-06,2.65892137927361e-05
"40",2017-11-09,42.4,1.39225863622342e-05,3.950206080924e-06,5.7856550207884e-06,6.2367971169436e-06,2.65030155524168e-05
"41",2017-11-10,67.3,1.68721320128761e-05,3.57625364828317e-06,6.24762264010537e-06,8.26240216797432e-06,3.02990245013563e-05
"42",2017-11-11,87.3,1.89740785263361e-05,3.48821208396035e-06,6.734755637397e-06,9.57740803414265e-06,3.33841562957259e-05
"43",2017-11-12,126,2.2831362085245e-05,3.61179284353224e-06,7.8166653691713e-06,1.1814235072529e-05,3.94931409696761e-05
"44",2017-11-13,444,5.15068201020717e-05,7.88534275815443e-06,1.75142910956272e-05,2.67752949302371e-05,8.88130063305267e-05
"45",2017-11-14,569,6.19835162730063e-05,9.74812666582649e-06,2.1194580248994e-05,3.21007806672221e-05,0.000107155354368297
