Site	Dates	Flow
10s	10d	6n
390106121021201	2017-10-01	75.7
390106121021201	2017-10-02	75.4
390106121021201	2017-10-03	75.0
390106121021201	2017-10-04	75.1
390106121021201	2017-10-05	74.8
390106121021201	2017-10-06	75.9
390106121021201	2017-10-07	80.4
390106121021201	2017-10-08	80.1
390106121021201	2017-10-09	80.4
390106121021201	2017-10-10	83.8
390106121021201	2017-10-11	86.2
390106121021201	2017-10-12	83.8
390106121021201	2017-10-13	83.1
390106121021201	2017-10-14	85.4
390106121021201	2017-10-15	109
390106121021201	2017-10-16	108
390106121021201	2017-10-17	111
390106121021201	2017-10-18	94.4
390106121021201	2017-10-19	87.5
390106121021201	2017-10-20	87.7
390106121021201	2017-10-21	86.8
390106121021201	2017-10-22	86.2
390106121021201	2017-10-23	87.4
390106121021201	2017-10-24	87.6
390106121021201	2017-10-25	88.0
390106121021201	2017-10-26	88.4
390106121021201	2017-10-27	88.8
390106121021201	2017-10-28	89.6
390106121021201	2017-10-29	89.9
390106121021201	2017-10-30	90.2
390106121021201	2017-10-31	202
390106121021201	2017-11-01	621
390106121021201	2017-11-02	853
390106121021201	2017-11-03	850
390106121021201	2017-11-04	664
390106121021201	2017-11-05	271
390106121021201	2017-11-06	52.6
390106121021201	2017-11-07	41.7
390106121021201	2017-11-08	41.7
390106121021201	2017-11-09	42.4
390106121021201	2017-11-10	67.3
390106121021201	2017-11-11	87.3
390106121021201	2017-11-12	126
390106121021201	2017-11-13	444
390106121021201	2017-11-14	569
390106121021201	2017-11-15	415
390106121021201	2017-11-16	1900
390106121021201	2017-11-17	1599
390106121021201	2017-11-18	797
390106121021201	2017-11-19	712
390106121021201	2017-11-20	700
390106121021201	2017-11-21	697
390106121021201	2017-11-22	698
390106121021201	2017-11-23	698
390106121021201	2017-11-24	697
390106121021201	2017-11-25	698
390106121021201	2017-11-26	698
390106121021201	2017-11-27	704
390106121021201	2017-11-28	702
390106121021201	2017-11-29	703
390106121021201	2017-11-30	703
390106121021201	2017-12-01	704
390106121021201	2017-12-02	704
390106121021201	2017-12-03	706
390106121021201	2017-12-04	713
390106121021201	2017-12-05	729
390106121021201	2017-12-06	712
390106121021201	2017-12-07	704
390106121021201	2017-12-08	705
390106121021201	2017-12-09	702
390106121021201	2017-12-10	701
390106121021201	2017-12-11	700
390106121021201	2017-12-12	699
390106121021201	2017-12-13	700
390106121021201	2017-12-14	699
390106121021201	2017-12-15	699
390106121021201	2017-12-16	698
